Customer_ID,Gender,Age,Annual_Income,Spending_Score,Segment
146,Female,58,87695,99,2
147,Female,58,77716,36,1
148,Female,22,89901,31,1
149,Male,39,98809,70,2
150,Female,26,54539,30,1
151,Male,62,55056,91,1
152,Female,22,123755,53,1
153,Male,52,137139,54,1
154,Male,31,125138,50,1
155,Male,66,114714,62,2
156,Female,40,93279,97,2
157,Male,44,72812,63,2
158,Male,35,129251,63,2
159,Female,42,103114,86,2
160,Male,64,58265,60,1
161,Male,57,22069,51,1
162,Female,23,127358,18,1
163,Female,29,28181,34,0
164,Female,38,70485,59,1
165,Female,39,114385,36,1
166,Male,34,36471,61,1
167,Male,65,28653,45,0
168,Male,59,32987,100,1
169,Male,66,23134,32,0
170,Male,19,54946,31,1
171,Male,48,44986,73,1
172,Female,47,82172,99,2
173,Male,28,45024,100,1
174,Male,37,43337,75,1
175,Male,37,113384,51,1
176,Female,22,78661,14,1
177,Male,61,46733,73,1
178,Female,40,127296,85,2
179,Female,22,147634,83,2
180,Male,18,125115,63,2
181,Female,45,109945,82,2
182,Male,63,55105,56,1
183,Female,64,85800,79,2
184,Female,47,129183,94,2
185,Female,38,79355,12,1
186,Female,46,78927,97,2
187,Male,54,114349,44,1
188,Female,49,100200,24,1
189,Female,31,108015,34,1
190,Male,35,87422,72,2
191,Male,51,65084,11,1
192,Male,64,121542,63,2
193,Female,62,139804,83,2
194,Female,46,19520,12,0
195,Male,32,121011,89,2
196,Female,37,111736,61,2
197,Female,45,101714,46,1
198,Male,35,95379,33,1
199,Male,25,65484,41,1
200,Male,65,63535,25,1
201,Female,65,141929,36,1
202,Male,24,65886,38,1
203,Male,41,62039,39,1
204,Male,63,48182,36,1
205,Male,21,91581,90,2
206,Male,58,143680,14,1
207,Female,54,89537,61,2
208,Male,46,104314,24,1
209,Male,34,140233,15,1
210,Male,43,143908,10,1
211,Female,27,54111,73,1
212,Female,23,80061,16,1
213,Female,56,74162,100,2
214,Female,46,131056,39,1
215,Male,37,30789,79,1
216,Male,66,69470,81,1
217,Male,34,36282,21,0
218,Male,29,34677,21,0
219,Female,44,133096,89,2
220,Female,36,23556,30,0
221,Female,63,89112,90,2
222,Male,22,76190,34,1
223,Male,45,45087,70,1
224,Male,59,54056,35,1
225,Female,22,30633,22,0
226,Male,56,90657,57,1
227,Female,47,94715,90,2
228,Female,35,146195,70,2
229,Male,46,36087,77,1
230,Female,45,99494,78,2
231,Male,19,38940,30,0
232,Male,66,85650,74,2
233,Female,66,60925,61,1
234,Female,35,62576,75,1
235,Female,58,143902,12,1
236,Female,40,122046,43,1
237,Female,60,42420,21,1
238,Female,44,144884,37,1
239,Male,70,24619,59,1
240,Male,38,81164,42,1
241,Male,67,120952,66,2
242,Male,60,136104,53,1
243,Female,30,109838,80,2
244,Male,58,130878,98,2
245,Male,31,85007,71,2
246,Female,36,129849,90,2
247,Male,25,22567,81,1
248,Male,63,56517,40,1
249,Male,53,121952,12,1
250,Male,25,135965,16,1
251,Female,49,91509,66,2
252,Male,44,141484,61,2
253,Male,47,52917,50,1
254,Male,56,148232,96,2
255,Female,22,87416,99,2
256,Male,39,148100,35,1
257,Female,36,93264,76,2
258,Female,27,132059,69,2
259,Female,40,102147,71,2
260,Male,47,99352,25,1
261,Female,54,115393,30,1
262,Female,20,98408,96,2
263,Male,63,114937,50,1
264,Female,49,24704,17,0
265,Female,24,130423,13,1
266,Male,18,52789,53,1
267,Female,22,138074,34,1
268,Male,57,119197,84,2
269,Female,39,114617,41,1
270,Male,52,24410,80,1
271,Male,33,90334,30,1
272,Male,45,40806,98,1
273,Female,46,58611,89,1
274,Male,19,27056,42,0
275,Female,36,108969,48,1
276,Female,27,79014,68,2
277,Male,54,62200,22,1
278,Male,23,115281,80,2
279,Female,49,52517,30,1
280,Female,58,81578,59,1
281,Female,60,17463,60,1
282,Female,61,56412,10,1
283,Female,40,93421,82,2
284,Female,62,80561,59,1
285,Male,30,115845,62,2
286,Female,33,114972,74,2
287,Female,54,92561,90,2
288,Male,19,118758,36,1
289,Female,54,27856,78,1
290,Female,36,75324,78,2
291,Female,32,64841,80,1
292,Male,61,50855,81,1
293,Female,58,25334,40,0
294,Male,20,110646,94,2
295,Female,23,92361,42,1
296,Female,29,67637,17,1
297,Male,51,146542,35,1
298,Female,34,141313,38,1
299,Male,69,45191,60,1
300,Female,27,74143,87,2
301,Female,69,110885,12,1
302,Male,18,84326,69,2
303,Female,47,111622,87,2
304,Female,55,114883,82,2
305,Male,24,76295,61,2
306,Male,57,100984,79,2
307,Female,59,31571,82,1
308,Female,62,94217,84,2
309,Male,25,51641,6,1
310,Male,37,144138,15,1
311,Female,33,50563,50,1
312,Male,41,124871,76,2
313,Female,44,40957,63,1
314,Female,35,23576,89,1
315,Male,31,131230,57,1
316,Female,41,41045,88,1
317,Female,52,109024,8,1
318,Female,35,64757,16,1
319,Male,23,70602,83,2
320,Male,21,102427,32,1
321,Male,68,68793,9,1
322,Female,55,71610,30,1
323,Male,67,53680,77,1
324,Female,35,52929,17,1
325,Male,69,60743,15,1
326,Male,26,18895,46,0
327,Male,55,99874,3,1
328,Female,34,28736,17,0
329,Male,51,44792,96,1
330,Female,48,132512,100,2
331,Male,50,43587,58,1
332,Female,57,26367,94,1
333,Female,47,23165,8,0
334,Male,43,126745,88,2
335,Male,49,131277,10,1
336,Male,38,53884,9,1
337,Female,35,100245,49,1
338,Female,47,147527,78,2
339,Male,24,44992,84,1
340,Female,45,133372,30,1
341,Female,39,133882,52,1
342,Female,64,39926,41,0
343,Male,38,81817,48,1
344,Male,61,139326,9,1
345,Male,23,39439,56,1
346,Male,65,112687,17,1
347,Male,55,101414,86,2
348,Female,44,107693,86,2
349,Female,64,28486,37,0
350,Male,40,42158,74,1
351,Male,27,141403,29,1
352,Female,40,111353,15,1
353,Male,54,74286,55,1
354,Male,56,85109,4,1
355,Female,35,95998,44,1
356,Female,18,62554,19,1
357,Male,22,52191,95,1
358,Female,23,71395,49,1
359,Female,47,104363,21,1
360,Male,37,100035,100,2
361,Male,21,55784,21,1
362,Female,61,36386,35,0
363,Female,60,126152,63,2
364,Male,44,86609,28,1
365,Female,40,127699,15,1
366,Female,61,142567,68,2
367,Male,20,72807,51,1
368,Male,18,68588,39,1
369,Female,67,50975,98,1
370,Male,36,101015,16,1
371,Male,49,127893,23,1
372,Female,42,75322,65,2
373,Male,22,119089,95,2
374,Male,45,19912,59,1
375,Female,38,127534,74,2
376,Male,63,124495,38,1
377,Male,43,20467,42,0
378,Female,69,135611,89,2
379,Male,23,129481,14,1
380,Male,45,119975,68,2
381,Female,43,96336,96,2
382,Male,32,102311,100,2
383,Male,22,148820,82,2
384,Female,51,148680,25,1
385,Male,40,53716,31,1
386,Male,27,82100,26,1
387,Male,56,55073,98,1
388,Female,29,144529,60,1
389,Female,61,99727,81,2
390,Female,27,130281,9,1
391,Male,46,94382,36,1
392,Female,40,147995,10,1
393,Male,47,133466,5,1
394,Male,41,90255,10,1
395,Female,57,147924,50,1
396,Male,55,25753,58,1
397,Male,38,139683,65,2
398,Female,21,133101,14,1
399,Male,63,37106,65,1
400,Female,20,79944,91,2
401,Female,46,56614,47,1
402,Female,36,116558,53,1
403,Female,61,28727,81,1
404,Female,22,101426,13,1
405,Male,36,81059,93,2
406,Male,39,36365,75,1
407,Female,40,96325,84,2
408,Female,26,37208,40,0
409,Male,59,101108,17,1
410,Female,59,125993,66,2
411,Male,19,110052,40,1
412,Female,31,104583,99,2
413,Male,30,74386,18,1
414,Male,22,92540,13,1
415,Male,60,103280,99,2
416,Male,56,113754,20,1
417,Female,29,58395,93,1
418,Male,20,122704,47,1
419,Female,46,89692,97,2
420,Female,32,77696,40,1
421,Female,30,111427,87,2
422,Female,47,88864,100,2
423,Male,50,124749,21,1
424,Male,69,51280,33,1
425,Male,59,140983,48,1
426,Male,63,47683,37,1
427,Female,66,57024,35,1
428,Male,50,53626,56,1
429,Male,32,133260,45,1
430,Female,44,28960,51,1
431,Female,33,116231,11,1
432,Male,32,22389,41,0
433,Male,63,102894,19,1
434,Male,20,90203,61,2
435,Male,66,137974,58,1
436,Male,23,19981,33,0
437,Female,27,125953,15,1
438,Male,33,93944,16,1
439,Female,33,125054,82,2
440,Male,22,44060,64,1
441,Male,58,78422,92,2
442,Female,36,127522,1,1
443,Male,33,124200,24,1
444,Male,51,109530,9,1
445,Female,42,138243,6,1
446,Male,41,81492,96,2
447,Male,40,32710,45,0
448,Female,64,42174,99,1
449,Female,26,26622,46,0
450,Female,70,60898,100,1
451,Male,62,140444,81,2
452,Female,69,50350,9,1
453,Male,20,91924,26,1
454,Female,68,67289,6,1
455,Female,37,119392,70,2
456,Male,34,24599,97,1
457,Male,36,108578,100,2
458,Male,59,102012,35,1
459,Female,69,111474,56,1
460,Female,65,130274,50,1
461,Female,29,145076,89,2
462,Female,41,84919,11,1
463,Male,23,127881,78,2
464,Male,52,92009,42,1
465,Female,23,100962,85,2
466,Female,37,131894,78,2
467,Female,28,131367,45,1
468,Female,20,107421,79,2
469,Female,35,30036,10,0
470,Male,41,149502,96,2
471,Female,19,52428,78,1
472,Male,20,48090,9,1
473,Female,67,111030,47,1
474,Male,54,23489,78,1
475,Female,61,132944,48,1
476,Male,46,35155,74,1
477,Female,51,111193,51,1
478,Male,59,88056,32,1
479,Female,19,63771,64,1
480,Female,53,45870,34,1
481,Female,63,131987,28,1
482,Male,62,143765,26,1
483,Male,26,34412,58,1
484,Female,63,131683,12,1
485,Male,60,106075,91,2
486,Male,53,91116,39,1
487,Male,63,60636,47,1
488,Male,25,67685,18,1
489,Female,68,144504,4,1
490,Male,53,111707,60,1
491,Female,57,37600,9,0
492,Female,43,140479,68,2
493,Male,67,122330,74,2
494,Male,26,98106,83,2
495,Female,46,137115,88,2
496,Male,26,62700,99,1
497,Male,45,146822,8,1
498,Male,51,55112,39,1
499,Male,28,99583,91,2
500,Female,40,89461,11,1
501,Female,30,86945,17,1
502,Male,57,39491,65,1
503,Female,55,55421,22,1
504,Male,54,25798,4,0
505,Male,20,84377,84,2
506,Male,67,124205,80,2
507,Female,49,90935,83,2
508,Female,48,79193,88,2
509,Male,37,133893,10,1
510,Female,28,130239,54,1
511,Male,47,68483,44,1
512,Female,38,98706,94,2
513,Female,43,49279,98,1
514,Male,50,42835,41,1
515,Female,47,47118,35,1
516,Male,33,51930,13,1
517,Female,36,115702,79,2
518,Female,33,56864,42,1
519,Female,30,56770,64,1
520,Male,49,95882,64,2
521,Female,23,118086,65,2
522,Female,33,71398,75,2
523,Female,21,28248,37,0
524,Male,56,138361,37,1
525,Female,24,127965,18,1
526,Female,64,110886,98,2
527,Male,41,26860,52,1
528,Female,54,66027,47,1
529,Female,22,116279,65,2
530,Male,66,88327,80,2
531,Female,26,40344,51,1
532,Female,68,103889,72,2
533,Female,66,52818,26,1
534,Male,50,25552,6,0
535,Female,26,102304,61,2
536,Female,27,51642,42,1
537,Female,28,118010,79,2
538,Female,55,103178,65,2
539,Male,63,93588,61,2
540,Male,41,101832,87,2
541,Male,44,95655,93,2
542,Male,56,139410,34,1
543,Female,64,28462,75,1
544,Male,28,114664,19,1
545,Male,20,43808,25,1
546,Male,46,97232,54,1
547,Female,44,68448,53,1
548,Male,65,31326,91,1
549,Female,51,69353,72,1
550,Female,60,140402,68,2
551,Female,38,60398,59,1
552,Female,52,107874,87,2
553,Male,57,141924,25,1
554,Female,35,93249,29,1
555,Male,67,90760,91,2
556,Female,62,143189,41,1
557,Male,40,86685,37,1
558,Female,54,114534,51,1
559,Male,67,53397,38,1
560,Female,36,35717,45,0
561,Female,59,82225,96,2
562,Female,31,67970,69,1
563,Male,53,86203,18,1
564,Male,57,77726,32,1
565,Male,60,74158,82,2
566,Female,21,41266,53,1
567,Male,63,138837,13,1
568,Female,18,56403,53,1
569,Female,48,67286,97,1
570,Male,38,89819,83,2
571,Male,67,38451,84,1
572,Female,52,24777,23,0
573,Female,29,24526,51,1
574,Male,29,90882,5,1
575,Female,37,43128,43,1
576,Female,47,144476,18,1
577,Female,35,65544,15,1
578,Female,28,135301,83,2
579,Female,63,63810,2,1
580,Male,68,92338,73,2
581,Female,29,121296,55,1
582,Male,23,120076,86,2
583,Female,29,51860,62,1
584,Female,33,16790,34,0
585,Female,33,132109,97,2
586,Male,39,94153,75,2
587,Male,34,109254,89,2
588,Female,21,45991,60,1
589,Female,28,121277,88,2
590,Female,62,45779,82,1
591,Male,41,72894,29,1
592,Female,48,55156,59,1
593,Male,44,138424,97,2
594,Male,66,79871,88,2
595,Female,51,132112,68,2
596,Male,22,44414,8,1
597,Female,54,54282,22,1
598,Male,51,130825,15,1
599,Female,63,143143,12,1
600,Male,69,29584,59,1
601,Male,50,123901,59,1
602,Female,53,136209,87,2
603,Female,64,20706,51,1
604,Male,70,15790,96,1
605,Female,55,34144,6,0
606,Male,40,31714,70,1
607,Female,22,138750,5,1
608,Male,44,62181,99,1
609,Female,67,125195,48,1
610,Male,46,113958,49,1
611,Female,61,49862,84,1
612,Female,25,61785,69,1
613,Male,51,48383,94,1
614,Female,18,20959,39,0
615,Female,61,126182,69,2
616,Female,70,75205,32,1
617,Male,40,55664,36,1
618,Female,64,44581,5,1
619,Male,57,19101,31,0
620,Male,22,41449,77,1
621,Male,46,27760,32,0
622,Male,43,130071,30,1
623,Female,66,29796,18,0
624,Female,32,98598,74,2
625,Male,33,94105,19,1
626,Male,44,93774,36,1
627,Female,53,60910,81,1
628,Female,53,144924,7,1
629,Female,59,114917,68,2
630,Male,62,124137,53,1
631,Female,37,113686,24,1
632,Male,33,74072,39,1
633,Female,69,136379,8,1
634,Male,44,50151,50,1
635,Male,34,68303,43,1
636,Male,46,112275,12,1
637,Male,21,85375,49,1
638,Male,22,64325,98,1
639,Female,48,69759,43,1
640,Male,18,70524,25,1
641,Male,65,140546,32,1
642,Female,43,77739,71,2
643,Female,67,89202,49,1
644,Female,52,109177,40,1
645,Female,41,149431,64,2
646,Female,24,138074,98,2
647,Female,31,112178,41,1
648,Male,20,73005,95,2
649,Female,19,83360,71,2
650,Female,36,54953,26,1
651,Male,32,114572,73,2
652,Female,49,103490,33,1
653,Male,64,143606,59,1
654,Male,64,107320,22,1
655,Male,64,143009,24,1
656,Male,51,23866,10,0
657,Male,66,16673,53,1
658,Male,58,75668,9,1
659,Female,18,72336,65,2
660,Female,41,30846,80,1
661,Male,60,142888,3,1
662,Male,52,122829,2,1
663,Female,51,87021,69,2
664,Female,19,146652,90,2
665,Male,69,61993,14,1
666,Male,51,54032,31,1
667,Female,57,81169,46,1
668,Female,68,119044,11,1
669,Male,43,135323,73,2
670,Male,62,74207,39,1
671,Female,59,23305,12,0
672,Female,42,113872,71,2
673,Male,21,17477,90,1
674,Female,23,146034,56,1
675,Male,54,39998,68,1
676,Female,32,70421,89,2
677,Female,35,27205,10,0
678,Female,52,23625,23,0
679,Male,19,69305,76,1
680,Female,66,119410,10,1
681,Female,28,78038,73,2
682,Male,61,101960,50,1
683,Female,68,35559,65,1
684,Male,21,40607,56,1
685,Female,22,104284,78,2
686,Female,67,100557,4,1
687,Male,68,133109,63,2
688,Male,40,113415,56,1
689,Female,61,114633,11,1
690,Male,69,79605,92,2
691,Female,23,85247,20,1
692,Female,63,55442,95,1
693,Male,38,109555,14,1
694,Female,18,95810,57,1
695,Male,66,85717,14,1
696,Female,23,64123,56,1
697,Male,53,149333,53,1
698,Male,19,38493,46,0
699,Male,56,100047,50,1
700,Male,36,123477,50,1
701,Male,64,78633,74,2
702,Male,61,114806,22,1
703,Female,35,93939,35,1
704,Female,27,31585,22,0
705,Female,35,125389,39,1
706,Female,68,35164,47,0
707,Male,33,144971,77,2
708,Female,47,43042,18,1
709,Female,18,118728,43,1
710,Female,69,101387,57,1
711,Female,45,50684,39,1
712,Female,56,67652,62,1
713,Female,29,119396,41,1
714,Male,65,143714,74,2
715,Female,38,113580,36,1
716,Male,41,44855,73,1
717,Male,55,62166,88,1
718,Male,64,136011,91,2
719,Male,46,91370,89,2
720,Female,70,122254,87,2
721,Female,26,94385,31,1
722,Female,60,55407,92,1
723,Female,68,113825,10,1
724,Female,56,140628,75,2
725,Female,52,147805,89,2
726,Male,52,24637,47,0
727,Female,24,80072,85,2
728,Female,28,26612,73,1
729,Male,66,101926,56,1
730,Male,18,40849,34,1
731,Female,50,72942,58,1
732,Male,43,136389,99,2
733,Male,40,21438,62,1
734,Male,36,124045,11,1
735,Female,64,52139,45,1
736,Female,39,134362,27,1
737,Female,40,139823,13,1
738,Male,64,133606,41,1
739,Male,37,26713,91,1
740,Male,19,104935,83,2
741,Male,61,58084,95,1
742,Male,51,60731,71,1
743,Male,39,126770,60,1
744,Male,69,121180,81,2
745,Male,29,128281,51,1
746,Female,65,66727,58,1
747,Male,42,16166,91,1
748,Male,31,87966,97,2
749,Male,54,41673,69,1
750,Female,41,100454,26,1
751,Female,25,83774,86,2
752,Female,51,97157,77,2
753,Male,57,117903,76,2
754,Male,40,107270,59,1
755,Male,70,92973,79,2
756,Male,61,50113,41,1
757,Male,33,95053,15,1
758,Female,41,52056,66,1
759,Female,44,51141,74,1
760,Male,45,63694,63,1
761,Female,53,58742,63,1
762,Female,26,64046,41,1
763,Male,57,29053,46,0
764,Female,49,50791,25,1
765,Female,53,147497,84,2
766,Female,44,143902,54,1
767,Male,49,58844,11,1
768,Male,68,72810,38,1
769,Female,35,73941,69,2
770,Female,28,134884,73,2
771,Male,53,148904,15,1
772,Male,35,111170,70,2
773,Male,66,130701,70,2
774,Male,45,41847,95,1
775,Female,37,23449,58,1
776,Male,40,37802,57,1
777,Female,67,77113,27,1
778,Male,63,127241,22,1
779,Male,68,69164,27,1
780,Female,54,106964,69,2
781,Female,56,59139,42,1
782,Male,36,85082,66,2
783,Female,26,122897,8,1
784,Male,59,48262,90,1
785,Female,33,53336,92,1
786,Male,33,117944,63,2
787,Female,54,85442,81,2
788,Male,42,133486,10,1
789,Female,43,87935,89,2
790,Male,47,142937,42,1
791,Female,67,39416,94,1
792,Female,58,108905,9,1
793,Female,31,127628,28,1
794,Female,35,99637,37,1
795,Female,53,49234,73,1
796,Male,68,105109,88,2
797,Female,20,41102,81,1
798,Female,19,47568,21,1
799,Male,47,15177,55,1
800,Female,62,49580,84,1
801,Female,28,86832,12,1
802,Male,34,36606,48,0
803,Female,21,118898,81,2
804,Male,64,76379,55,1
805,Male,63,39951,1,0
806,Male,48,35431,17,0
807,Male,51,131671,2,1
808,Female,62,105065,16,1
809,Male,62,49648,62,1
810,Male,32,115419,12,1
811,Female,24,97143,48,1
812,Male,26,115328,100,2
813,Male,59,52448,9,1
814,Female,57,58022,57,1
815,Male,64,70851,81,2
816,Male,44,130968,28,1
817,Male,24,51703,97,1
818,Female,55,115671,45,1
819,Female,38,51655,32,1
820,Female,59,37085,32,0
821,Female,67,22031,85,1
822,Female,31,148568,25,1
823,Female,36,29304,31,0
824,Female,42,44555,31,1
825,Male,58,33615,68,1
826,Female,41,97961,17,1
827,Male,54,125326,47,1
828,Male,66,138473,99,2
829,Female,19,32703,2,0
830,Female,31,25440,8,0
831,Female,50,90101,81,2
832,Male,45,120454,11,1
833,Male,35,36914,40,0
834,Female,50,68267,20,1
835,Female,43,32331,40,0
836,Male,64,77557,8,1
837,Female,23,128897,15,1
838,Male,57,29425,40,0
839,Male,25,18320,91,1
840,Female,62,17975,21,0
841,Female,40,82960,22,1
842,Male,26,85454,94,2
843,Female,67,22695,43,0
844,Male,35,31743,34,0
845,Female,49,134327,66,2
846,Male,21,145969,73,2
847,Male,41,56237,33,1
848,Male,54,45234,30,1
849,Male,20,18221,32,0
850,Male,48,110414,50,1
851,Female,29,24270,71,1
852,Female,32,99358,32,1
853,Male,64,98869,35,1
854,Male,54,112729,16,1
855,Male,29,73506,67,2
856,Female,43,33068,60,1
857,Male,67,96447,42,1
858,Female,53,134733,2,1
859,Female,30,91439,73,2
860,Female,65,78591,60,1
861,Male,55,144331,99,2
862,Male,64,79258,20,1
863,Female,44,21267,30,0
864,Male,58,17515,43,0
865,Female,66,113638,95,2
866,Male,24,68790,68,1
867,Male,44,143982,8,1
868,Male,63,88354,12,1
869,Female,32,123280,90,2
870,Male,47,37256,75,1
871,Female,50,49999,82,1
872,Male,22,31327,56,1
873,Female,33,91461,34,1
874,Female,69,118010,90,2
875,Male,38,133687,35,1
876,Male,22,68139,18,1
877,Female,27,42697,22,1
878,Male,47,97321,53,1
879,Male,52,108922,99,2
880,Female,46,95821,60,1
881,Female,25,38703,21,0
882,Female,70,25572,28,0
883,Male,27,38910,92,1
884,Male,40,118873,66,2
885,Male,61,93339,34,1
886,Male,19,121008,58,1
887,Male,24,136121,14,1
888,Male,25,18134,8,0
889,Female,26,66939,52,1
890,Female,61,37030,75,1
891,Male,70,34657,3,0
892,Male,30,131242,17,1
893,Male,69,101913,16,1
894,Female,47,28274,22,0
895,Male,70,118546,64,2
896,Female,42,126847,23,1
897,Female,31,64060,36,1
898,Male,46,53962,5,1
899,Female,59,92360,64,2
900,Male,53,140575,8,1
901,Female,35,115405,18,1
902,Male,30,80312,81,2
903,Female,42,109139,62,2
904,Female,40,146699,42,1
905,Female,35,62137,4,1
906,Female,56,72414,4,1
907,Female,21,138649,68,2
908,Male,67,76017,21,1
909,Male,33,78216,35,1
910,Female,66,72517,74,2
911,Male,40,60537,23,1
912,Female,55,98362,95,2
913,Female,55,22394,91,1
914,Male,54,52251,73,1
915,Female,69,144034,70,2
916,Male,29,143564,5,1
917,Male,21,75980,78,2
918,Female,19,140301,1,1
919,Female,57,67812,17,1
920,Male,63,61520,42,1
921,Male,19,53721,76,1
922,Female,67,44077,68,1
923,Female,22,112934,91,2
924,Female,55,41484,44,1
925,Female,38,50769,21,1
926,Female,68,142716,84,2
927,Male,29,108539,29,1
928,Female,42,95431,94,2
929,Male,26,61585,94,1
930,Male,62,117655,99,2
931,Male,29,98418,79,2
932,Male,58,42291,64,1
933,Female,39,35396,31,0
934,Male,38,59010,82,1
935,Male,70,103014,58,1
936,Male,34,69967,32,1
937,Male,40,82281,14,1
938,Female,21,116171,57,1
939,Female,28,123532,64,2
940,Female,40,113395,13,1
941,Female,68,74135,21,1
942,Male,22,23758,38,0
943,Male,38,83453,14,1
944,Male,39,59592,49,1
945,Male,64,34661,71,1
946,Male,39,141546,91,2
947,Female,45,58253,78,1
948,Female,28,29039,13,0
949,Female,31,64803,53,1
950,Male,60,88799,39,1
951,Female,24,28011,51,1
952,Male,27,29288,47,0
953,Female,45,37971,38,0
954,Male,30,40424,4,1
955,Female,28,91496,11,1
956,Female,25,95832,51,1
957,Female,49,84469,12,1
958,Female,29,112260,49,1
959,Female,29,131857,6,1
960,Male,46,136912,34,1
961,Male,35,31158,20,0
962,Female,23,105122,70,2
963,Male,66,74641,71,2
964,Female,42,124741,69,2
965,Female,54,76772,61,2
966,Male,23,118495,92,2
967,Female,50,53652,16,1
968,Male,29,58821,28,1
969,Male,26,26187,55,1
970,Male,61,129135,26,1
971,Male,56,82603,41,1
972,Female,23,116737,72,2
973,Female,53,100492,36,1
974,Female,18,124994,15,1
975,Male,27,53849,73,1
976,Female,24,41474,37,1
977,Female,44,84241,50,1
978,Male,54,139006,5,1
979,Female,35,120637,19,1
980,Male,20,118754,43,1
981,Female,21,139575,35,1
982,Female,19,103569,39,1
983,Male,35,143875,90,2
984,Female,32,50228,39,1
985,Female,67,99113,35,1
986,Female,56,38406,25,0
987,Female,31,121737,95,2
988,Male,66,113018,8,1
989,Female,22,96559,91,2
990,Male,26,22588,23,0
991,Male,30,30106,32,0
992,Male,47,28253,47,0
993,Female,35,111561,60,1
994,Male,58,47472,88,1
995,Female,33,112639,63,2
